Date,Real,Predicted,Probability
2021-01-04,0,0,0.01
2021-01-05,0,0,0.0
2021-01-06,0,0,0.02
2021-01-07,0,0,0.0
2021-01-08,0,0,0.0
2021-01-11,0,0,0.0
2021-01-12,0,0,0.0
2021-01-13,0,0,0.0
2021-01-14,0,0,0.0
2021-01-15,0,0,0.0
2021-01-19,0,0,0.0
2021-01-20,0,0,0.0
2021-01-21,0,0,0.0
2021-01-22,0,0,0.0
2021-01-25,0,0,0.01
2021-01-26,0,0,0.0
2021-01-27,0,0,0.02
2021-01-28,0,0,0.01
2021-01-29,0,0,0.03
2021-02-01,0,0,0.0
2021-02-02,0,0,0.0
2021-02-03,0,0,0.0
2021-02-04,0,0,0.0
2021-02-05,0,0,0.0
2021-02-08,0,0,0.0
2021-02-09,0,0,0.0
2021-02-10,0,0,0.0
2021-02-11,0,0,0.0
2021-02-12,0,0,0.0
2021-02-16,0,0,0.0
2021-02-17,0,0,0.0
2021-02-18,0,0,0.0
2021-02-19,0,0,0.0
2021-02-22,0,0,0.03
2021-02-23,0,0,0.05
2021-02-24,0,0,0.02
2021-02-25,0,0,0.14991003547896603
2021-02-26,0,0,0.14991003547896603
2021-03-01,0,0,0.0
2021-03-02,0,0,0.06991003547896604
2021-03-03,0,0,0.45920406877504955
2021-03-04,0,0,0.3475551590559698
2021-03-05,0,0,0.34986035386116465
2021-03-08,1,1,0.7193985879489402
2021-03-09,0,1,0.5870018237112042
2021-03-10,0,1,0.5273978782542178
2021-03-11,0,0,0.33683003150546625
2021-03-12,0,0,0.2864138270311927
2021-03-15,0,0,0.16708370365850392
2021-03-16,0,0,0.14678477287300765
2021-03-17,0,0,0.1570960470254147
2021-03-18,0,0,0.29875794857800314
2021-03-19,0,0,0.2787579485780031
2021-03-22,0,0,0.16655904025629184
2021-03-23,0,0,0.16655904025629184
2021-03-24,0,0,0.22928585965479023
2021-03-25,0,0,0.17995031838219858
2021-03-26,0,0,0.0899503183821986
2021-03-29,0,0,0.11669480835197367
2021-03-30,0,0,0.12963904422979156
2021-03-31,0,0,0.03
2021-04-01,0,0,0.01
2021-04-05,0,0,0.019937975015287848
2021-04-06,0,0,0.0
2021-04-07,0,0,0.01
2021-04-08,0,0,0.0
2021-04-09,0,0,0.0
2021-04-12,0,0,0.0
2021-04-13,0,0,0.0
2021-04-14,0,0,0.0
2021-04-15,0,0,0.01
2021-04-16,0,0,0.02
2021-04-19,0,0,0.01
2021-04-20,0,0,0.02
2021-04-21,0,0,0.0
2021-04-22,0,0,0.0
2021-04-23,0,0,0.0
2021-04-26,0,0,0.0
2021-04-27,0,0,0.0
2021-04-28,0,0,0.0
2021-04-29,0,0,0.0
2021-04-30,0,0,0.0
2021-05-03,0,0,0.0
2021-05-04,0,0,0.03
2021-05-05,0,0,0.01
2021-05-06,0,0,0.0
2021-05-07,0,0,0.01
2021-05-10,0,0,0.03
2021-05-11,0,0,0.05
2021-05-12,0,0,0.1893758241758242
2021-05-13,0,0,0.14
2021-05-14,0,0,0.04
2021-05-17,0,0,0.04
2021-05-18,0,0,0.06
2021-05-19,0,0,0.05
2021-05-20,0,0,0.04
2021-05-21,0,0,0.02
2021-05-24,0,0,0.03
2021-05-25,0,0,0.01
2021-05-26,0,0,0.0
2021-05-27,0,0,0.0
2021-05-28,0,0,0.0
2021-06-01,0,0,0.0
2021-06-02,0,0,0.0
2021-06-03,0,0,0.0
2021-06-04,0,0,0.0
2021-06-07,0,0,0.0
2021-06-08,0,0,0.0
2021-06-09,0,0,0.0
2021-06-10,0,0,0.0
2021-06-11,0,0,0.0
2021-06-14,0,0,0.0
2021-06-15,0,0,0.0
2021-06-16,0,0,0.02
2021-06-17,0,0,0.02
2021-06-18,0,0,0.02
2021-06-21,0,0,0.0
2021-06-22,0,0,0.0
2021-06-23,0,0,0.0
2021-06-24,0,0,0.0
2021-06-25,0,0,0.0
2021-06-28,0,0,0.0
2021-06-29,0,0,0.0
2021-06-30,0,0,0.0
2021-07-01,0,0,0.0
2021-07-02,0,0,0.0
2021-07-06,0,0,0.0
2021-07-07,0,0,0.0
2021-07-08,0,0,0.02
2021-07-09,0,0,0.0
2021-07-12,0,0,0.0
2021-07-13,0,0,0.0
2021-07-14,0,0,0.0
2021-07-15,0,0,0.01
2021-07-16,0,0,0.02
2021-07-19,0,0,0.02
2021-07-20,0,0,0.0
2021-07-21,0,0,0.0
2021-07-22,0,0,0.0
2021-07-23,0,0,0.0
2021-07-26,0,0,0.0
2021-07-27,0,0,0.02
2021-07-28,0,0,0.0
2021-07-29,0,0,0.0
